EC,EnzymeName
1.6.99.5,NADH dehydrogenase (quinone)
1.6.99.n1,1.6.99.n1
1.7.1.13,7-cyano-7-deazaguanine reductase
1.7.1.15,nitrite reductase (NADH) large subunit
1.7.1.4,nitrite reductase [NAD(P)H]
1.7.1.6,azobenzene reductase
1.7.1.7,GMP reductase
1.7.2.1,nitrite reductase (NO-forming)
1.7.2.2,nitrite reductase (cytochrome c-552)
1.7.2.3,trimethylamine-N-oxide reductase (cytochrome c)
1.7.2.5,nitric oxide reductase subunit B
1.7.3.3,urate oxidase
1.7.5.1,"nitrate reductase / nitrite oxidoreductase, alpha subunit"
1.7.7.1,ferredoxin-nitrite reductase
1.7.99.1,hydroxylamine reductase
1.7.99.4,nitrate reductase (NADH)
1.8.1.14,CoA-disulfide reductase
1.8.1.15,mycothione reductase
1.8.1.16,glutathione amide reductase
1.8.1.19,sulfide dehydrogenase subunit alpha
1.8.1.2,sulfite reductase (NADPH) flavoprotein alpha-component
1.8.1.4,dihydrolipoyl dehydrogenase
1.8.1.7,glutathione reductase (NADPH)
1.8.1.8,thioredoxin 2
1.8.1.9,thioredoxin reductase (NADPH)
1.8.2.3,sulfide dehydrogenase [flavocytochrome c] flavoprotein chain
1.8.2.4,dimethylsulfide dehydrogenase subunit alpha
1.8.4.11,peptide-methionine (S)-S-oxide reductase
1.8.4.12,peptide-methionine (R)-S-oxide reductase
1.8.4.13,L-methionine (S)-S-oxide reductase
1.8.4.14,L-methionine (R)-S-oxide reductase
1.8.4.2,protein-disulfide reductase (glutathione)
1.8.4.8,phosphoadenosine phosphosulfate reductase
1.8.5.3,anaerobic dimethyl sulfoxide reductase subunit A
1.8.5.7,glutathionyl-hydroquinone reductase
1.8.7.1,sulfite reductase (ferredoxin)
1.8.98.1,heterodisulfide reductase subunit D
1.8.99.1,sulfite reductase
1.8.99.2,"adenylylsulfate reductase, subunit A"
1.8.99.3,hydrogensulfite reductase
1.8.99.5,dissimilatory sulfite reductase system.
1.9.3.1,cytochrome-c oxidase
1.9.6.1,nitrate reductase (cytochrome)
1.97.1.12,photosystem I P700 chlorophyll a apoprotein A1
1.97.1.2,pyrogallol hydroxytransferase
1.97.1.4,anaerobic ribonucleoside-triphosphate reductase activating protein
1.97.1.9,Tat-targeted selenate reductase subunit YnfE
2.1.1.10,homocysteine S-methyltransferase
2.1.1.101,macrocin O-methyltransferase
2.1.1.103,phosphoethanolamine N-methyltransferase
2.1.1.104,caffeoyl-CoA O-methyltransferase
2.1.1.107,uroporphyrin-III C-methyltransferase
2.1.1.11,magnesium-protoporphyrin O-methyltransferase
2.1.1.113,site-specific DNA-methyltransferase (cytosine-N4-specific)
2.1.1.13,5-methyltetrahydrofolate--homocysteine methyltransferase
2.1.1.130,precorrin-2/cobalt-factor-2 C20-methyltransferase
2.1.1.131,precorrin-3B C17-methyltransferase / cobalt-factor III methyltransferase
2.1.1.132,"precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase"
2.1.1.133,precorrin-4/cobalt-precorrin-4 C11-methyltransferase
2.1.1.14,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
2.1.1.144,trans-aconitate 2-methyltransferase
2.1.1.148,thymidylate synthase (FAD)
2.1.1.151,precorrin-2/cobalt-factor-2 C20-methyltransferase
2.1.1.156,glycine/sarcosine N-methyltransferase
2.1.1.157,sarcosine/dimethylglycine N-methyltransferase
2.1.1.163,"demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase"
2.1.1.164,demethylrebeccamycin-D-glucose O-methyltransferase
2.1.1.166,23S rRNA (uridine2552-2'-O)-methyltransferase
2.1.1.170,16S rRNA (guanine527-N7)-methyltransferase
2.1.1.171,16S rRNA (guanine966-N2)-methyltransferase
2.1.1.172,16S rRNA (guanine1207-N2)-methyltransferase
2.1.1.173,23S rRNA (guanine2069-N7)-methyltransferase / 23S rRNA (guanine2445-N2)-methyltransferase
2.1.1.174,23S rRNA (guanine1835-N2)-methyltransferase
2.1.1.176,16S rRNA (cytosine967-C5)-methyltransferase
2.1.1.177,23S rRNA (pseudouridine1915-N3)-methyltransferase
2.1.1.178,16S rRNA (cytosine1407-C5)-methyltransferase
2.1.1.179,16S rRNA (guanine(1405)-N(7))-methyltransferase
2.1.1.180,16S rRNA (adenine(1408)-N(1))-methyltransferase
2.1.1.181,23S rRNA (adenine1618-N6)-methyltransferase
2.1.1.182,16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase
2.1.1.184,23S rRNA (adenine-N6)-dimethyltransferase
2.1.1.185,23S rRNA (guanosine2251-2'-O)-methyltransferase
2.1.1.186,23S rRNA (cytidine2498-2'-O)-methyltransferase
2.1.1.187,23S rRNA (guanine745-N1)-methyltransferase
2.1.1.188,23S rRNA (guanine748-N1)-methyltransferase
2.1.1.189,23S rRNA (uracil747-C5)-methyltransferase
2.1.1.190,23S rRNA (uracil1939-C5)-methyltransferase
2.1.1.191,23S rRNA (cytosine1962-C5)-methyltransferase
2.1.1.192,23S rRNA (adenine2503-C2)-methyltransferase
2.1.1.193,16S rRNA (uracil1498-N3)-methyltransferase
2.1.1.195,cobalt-precorrin-5B (C1)-methyltransferase
2.1.1.196,"precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase"
2.1.1.197,malonyl-CoA O-methyltransferase
2.1.1.198,16S rRNA (cytidine1402-2'-O)-methyltransferase
2.1.1.199,16S rRNA (cytosine1402-N4)-methyltransferase
2.1.1.200,tRNA (cytidine32/uridine32-2'-O)-methyltransferase
2.1.1.201,"demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase"
2.1.1.205,tRNA (cytidine32/guanosine34-2'-O)-methyltransferase
2.1.1.206,tRNA (cytidine56-2'-O)-methyltransferase
2.1.1.207,tRNA (cytidine/uridine-2'-O-)-methyltransferase
2.1.1.208,23S rRNA (uridine2479-2'-O)-methyltransferase
2.1.1.210,demethylspheroidene O-methyltransferase
2.1.1.216,tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase
2.1.1.217,tRNA (adenine22-N1)-methyltransferase
2.1.1.220,tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit
2.1.1.222,2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase
2.1.1.223,tRNA1Val (adenine37-N6)-methyltransferase
2.1.1.224,23S rRNA (adenine-C8)-methyltransferase
2.1.1.226,23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase
2.1.1.227,23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase
2.1.1.228,tRNA (guanine37-N1)-methyltransferase
2.1.1.230,23S rRNA (adenosine1067-2'-O)-methyltransferase
2.1.1.234,"dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucopyranose N,N-dimethyltransferase"
2.1.1.242,16S rRNA (guanine1516-N2)-methyltransferase
2.1.1.257,tRNA (pseudouridine54-N1)-methyltransferase
2.1.1.258,5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase
2.1.1.264,23S rRNA (guanine2069-N7)-methyltransferase / 23S rRNA (guanine2445-N2)-methyltransferase
2.1.1.265,tellurite methyltransferase
2.1.1.266,23S rRNA (adenine2030-N6)-methyltransferase
2.1.1.271,precorrin-4/cobalt-precorrin-4 C11-methyltransferase
2.1.1.289,"precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase"
2.1.1.297,release factor glutamine methyltransferase
2.1.1.298,ribosomal protein L3 glutamine methyltransferase
2.1.1.33,tRNA (guanine-N7-)-methyltransferase
2.1.1.34,tRNA (guanosine-2'-O-)-methyltransferase
2.1.1.35,tRNA (uracil-5-)-methyltransferase
2.1.1.37,DNA (cytosine-5)-methyltransferase 1
2.1.1.43,histone-lysine N-methyltransferase
2.1.1.45,thymidylate synthase
2.1.1.51,NA
2.1.1.52,NA
2.1.1.56,mRNA (guanine-N7-)-methyltransferase
2.1.1.61,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein
2.1.1.63,methylated-DNA-[protein]-cysteine S-methyltransferase
2.1.1.64,2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase
2.1.1.66,rRNA (adenosine-2'-O-)-methyltransferase
2.1.1.72,site-specific DNA-methyltransferase (adenine-specific)
2.1.1.74,methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase
2.1.1.77,protein-L-isoaspartate(D-aspartate) O-methyltransferase
2.1.1.79,cyclopropane-fatty-acyl-phospholipid synthase
2.1.1.8,histamine N-methyltransferase
2.1.1.80,chemotaxis protein methyltransferase CheR
2.1.1.86,tetrahydromethanopterin S-methyltransferase
2.1.1.90,methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase
2.1.1.98,diphthine synthase
2.1.1.n11,2.1.1.n11
2.1.2.1,glycine hydroxymethyltransferase
2.1.2.10,glycine cleavage system T protein (aminomethyltransferase)
2.1.2.11,3-methyl-2-oxobutanoate hydroxymethyltransferase
2.1.2.13,UDP-4-amino-4-deoxy-L-arabinose formyltransferase / UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating)
2.1.2.2,phosphoribosylglycinamide formyltransferase
2.1.2.3,phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase
2.1.2.5,glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase
2.1.2.9,methionyl-tRNA formyltransferase
2.1.3.1,methylmalonyl-CoA carboxyltransferase 5S subunit
2.1.3.15,acetyl-CoA carboxylase / biotin carboxylase 2
2.1.3.2,aspartate carbamoyltransferase
2.1.3.3,ornithine carbamoyltransferase
2.1.3.6,putrescine carbamoyltransferase
2.1.3.9,N-acetylornithine carbamoyltransferase
2.1.4.1,glycine amidinotransferase
2.10.1.1,molybdopterin molybdotransferase
2.2.1.1,transketolase
2.2.1.10,"fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase"
2.2.1.2,transaldolase
2.2.1.3,dihydroxyacetone synthase
2.2.1.6,acetolactate synthase I/II/III large subunit
2.2.1.7,1-deoxy-D-xylulose-5-phosphate synthase
2.2.1.9,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
2.3.1.1,amino-acid N-acetyltransferase
2.3.1.101,formylmethanofuran--tetrahydromethanopterin N-formyltransferase
2.3.1.102,acetyl CoA:N6-hydroxylysine acetyl transferase
2.3.1.109,arginine N-succinyltransferase
2.3.1.111,mycocerosic acid synthase
2.3.1.117,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
2.3.1.118,N-hydroxyarylamine O-acetyltransferase
2.3.1.12,pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase)
2.3.1.122,diacylglycerol O-acyltransferase / trehalose O-mycolyltransferase / mycolyltransferase Ag85
2.3.1.128,Transferred to 2.3.1.266 and 2.3.1.267
2.3.1.129,UDP-N-acetylglucosamine acyltransferase
2.3.1.136,polysialic-acid O-acetyltransferase
2.3.1.15,glycerol-3-phosphate O-acyltransferase 1/2
2.3.1.157,bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase
2.3.1.16,acetyl-CoA acyltransferase
2.3.1.168,2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase)
2.3.1.169,"acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta"
2.3.1.174,"3-oxo-5,6-didehydrosuberyl-CoA/3-oxoadipyl-CoA thiolase"
2.3.1.179,3-oxoacyl-[acyl-carrier-protein] synthase II
2.3.1.18,galactoside O-acetyltransferase
2.3.1.180,3-oxoacyl-[acyl-carrier-protein] synthase III
2.3.1.181,lipoyl(octanoyl) transferase
2.3.1.182,(R)-citramalate synthase.
2.3.1.183,phosphinothricin acetyltransferase
2.3.1.189,mycothiol synthase
2.3.1.19,phosphate butyryltransferase
2.3.1.190,acetoin dehydrogenase system
2.3.1.191,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase
2.3.1.193,tRNA(Met) cytidine acetyltransferase
2.3.1.197,"dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose 3-N-acetyltransferase"
2.3.1.200,lipoyl amidotransferase
2.3.1.201,"UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase"
2.3.1.202,"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase"
2.3.1.203,UDP-N-acetylbacillosamine N-acetyltransferase
2.3.1.210,"dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase"
2.3.1.222,phosphate propanoyltransferase
2.3.1.234,N6-L-threonylcarbamoyladenine synthase
2.3.1.241,Kdo2-lipid IVA lauroyltransferase/acyltransferase
2.3.1.242,KDO2-lipid IV(A) palmitoleoyltransferase
2.3.1.243,lauroyl-Kdo2-lipid IVA myristoyltransferase
2.3.1.245,"3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase"
2.3.1.251,lipid IVA palmitoyltransferase
2.3.1.254,N-terminal acetyltransferase B complex catalytic subunit
2.3.1.266,[ribosomal protein S18]-alanine N-acetyltransferase
2.3.1.267,[ribosomal protein S5]-alanine N-acetyltransferase
2.3.1.274,phosphate acyltransferase
2.3.1.275,acyl phosphate:glycerol-3-phosphate acyltransferase
2.3.1.28,chloramphenicol O-acetyltransferase type B
2.3.1.29,glycine C-acetyltransferase
2.3.1.30,serine O-acetyltransferase
2.3.1.31,homoserine O-acetyltransferase/O-succinyltransferase
2.3.1.35,glutamate N-acetyltransferase / amino-acid N-acetyltransferase
2.3.1.37,5-aminolevulinate synthase
2.3.1.38,[acyl-carrier-protein] S-acetyltransferase
2.3.1.39,[acyl-carrier-protein] S-malonyltransferase
2.3.1.4,glucosamine-phosphate N-acetyltransferase
2.3.1.40,acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase
2.3.1.41,3-oxoacyl-[acyl-carrier-protein] synthase I
2.3.1.46,homoserine O-acetyltransferase/O-succinyltransferase
2.3.1.47,8-amino-7-oxononanoate synthase
2.3.1.48,chromodomain protein Y
2.3.1.5,arylamine N-acetyltransferase
2.3.1.50,serine palmitoyltransferase
2.3.1.51,1-acyl-sn-glycerol-3-phosphate acyltransferase
2.3.1.53,L-phenylalanine/L-methionine N-acetyltransferase
2.3.1.54,formate C-acetyltransferase
2.3.1.57,diamine N-acetyltransferase
2.3.1.61,2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)
2.3.1.79,maltose O-acetyltransferase
2.3.1.8,phosphate acetyltransferase
2.3.1.81,aminoglycoside 3-N-acetyltransferase
2.3.1.82,aminoglycoside 6'-N-acetyltransferase
2.3.1.85,"fatty acid synthase, animal type"
2.3.1.86,"fatty acid synthase subunit alpha, fungi type"
2.3.1.87,arylalkylamine N-acetyltransferase
2.3.1.88,NA
2.3.1.89,tetrahydrodipicolinate N-acetyltransferase
2.3.1.9,acetyl-CoA C-acetyltransferase
2.3.1.94,6-deoxyerythronolide-B synthase EryAI
2.3.1.n2,2.3.1.n2
2.3.1.n3,2.3.1.n3
2.3.1.n4,2.3.1.n4
2.3.1.n5,2.3.1.n5
2.3.2.10,serine/alanine adding enzyme
2.3.2.13,protein-glutamine gamma-glutamyltransferase
2.3.2.16,peptidoglycan pentaglycine glycine transferase (the first glycine)
2.3.2.17,peptidoglycan pentaglycine glycine transferase (the second and third glycine)
2.3.2.18,peptidoglycan pentaglycine glycine transferase (the fourth and fifth glycine)
2.3.2.2,gamma-glutamyltranspeptidase / glutathione hydrolase
2.3.2.26,other hect domain ubiquitin protein ligase E3
2.3.2.29,leucyl-tRNA---protein transferase
2.3.2.3,phosphatidylglycerol lysyltransferase
2.3.2.5,glutaminyl-peptide cyclotransferase
2.3.2.6,leucyl/phenylalanyl-tRNA---protein transferase
2.3.3.1,citrate synthase
2.3.3.10,hydroxymethylglutaryl-CoA synthase
2.3.3.13,2-isopropylmalate synthase
2.3.3.14,homocitrate synthase
2.3.3.15,sulfoacetaldehyde acetyltransferase
2.3.3.16,citrate synthase (unknown stereospecificity)
2.3.3.5,2-methylcitrate synthase
2.3.3.9,malate synthase
2.4.1.1,glycogen phosphorylase
2.4.1.10,levansucrase
2.4.1.109,dolichyl-phosphate-mannose-protein mannosyltransferase
2.4.1.11,glycogen synthase
2.4.1.12,cellulose synthase (UDP-forming)
2.4.1.129,peptidoglycan glycosyltransferase
2.4.1.15,trehalose 6-phosphate synthase
2.4.1.150,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase"
2.4.1.157,monoglucosyldiacylglycerol synthase
2.4.1.161,oligosaccharide 4-alpha-D-glucosyltransferase
2.4.1.166,raffinose---raffinose alpha-galactosyltransferase
2.4.1.175,chondroitin sulfate N-acetylgalactosaminyltransferase 1/2
2.4.1.18,"1,4-alpha-glucan branching enzyme"
2.4.1.180,UDP-N-acetyl-D-mannosaminouronate:lipid I N-acetyl-D-mannosaminouronosyltransferase
2.4.1.182,lipid-A-disaccharide synthase
2.4.1.187,N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
2.4.1.20,cellobiose phosphorylase
2.4.1.208,"1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase"
2.4.1.21,starch synthase
2.4.1.211,"1,3-beta-galactosyl-N-acetylhexosamine phosphorylase"
2.4.1.212,hyaluronan synthase
2.4.1.216,trehalose 6-phosphate phosphorylase
2.4.1.226,chondroitin polymerizing factor
2.4.1.227,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
2.4.1.230,kojibiose phosphorylase
2.4.1.243,6(G)-fructosyltransferase
2.4.1.246,mannosylfructose-phosphate synthase
2.4.1.247,beta-D-galactosyl-(1->4)-L-rhamnose phosphorylase
2.4.1.248,cycloisomaltooligosaccharide glucanotransferase
2.4.1.25,4-alpha-glucanotransferase
2.4.1.250,D-inositol-3-phosphate glycosyltransferase
2.4.1.251,"beta-1,4-mannosyltransferase"
2.4.1.252,"alpha-1,3-mannosyltransferase"
2.4.1.255,protein O-GlcNAc transferase
2.4.1.280,"N,N'-diacetylchitobiose phosphorylase"
2.4.1.281,4-O-beta-D-mannosyl-D-glucose phosphorylase
2.4.1.283,2-deoxystreptamine N-acetyl-D-glucosaminyltransferase / 2-deoxystreptamine glucosyltransferase
2.4.1.284,2-deoxystreptamine N-acetyl-D-glucosaminyltransferase / 2-deoxystreptamine glucosyltransferase
2.4.1.289,N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase
2.4.1.290,"N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase"
2.4.1.291,"N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase"
2.4.1.292,"GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase"
2.4.1.293,"GalNAc5-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase"
2.4.1.298,anthocyanidin 3-O-glucoside 5-O-glucosyltransferase
2.4.1.301,2'-deamino-2'-hydroxyneamine 1-alpha-D-kanosaminyltransferase
2.4.1.303,"UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase"
2.4.1.304,"UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,4-galactosyltransferase"
2.4.1.305,"UDP-Glc:alpha-D-GlcNAc-glucosaminyl-diphosphoundecaprenol beta-1,3-glucosyltransferase"
2.4.1.306,"O86/O127-antigen biosynthesis alpha-1,3-N-acetylgalactosaminyltransferase"
2.4.1.320,"beta-1,4-mannooligosaccharide/beta-1,4-mannosyl-N-acetylglucosamine phosphorylase"
2.4.1.325,dTDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
2.4.1.329,sucrose 6(F)-phosphate phosphorylase
2.4.1.345,phosphatidyl-myo-inositol alpha-mannosyltransferase
2.4.1.352,glucosylglycerate phosphorylase
2.4.1.4,amylosucrase
2.4.1.44,"UDP-D-galactose:(glucosyl)LPS alpha-1,3-D-galactosyltransferase"
2.4.1.49,cellodextrin phosphorylase
2.4.1.5,dextransucrase
2.4.1.52,poly(glycerol-phosphate) alpha-glucosyltransferase
2.4.1.54,undecaprenyl-phosphate mannosyltransferase
2.4.1.56,"UDP-N-acetylglucosamine:(glucosyl)LPS alpha-1,2-N-acetylglucosaminyltransferase"
2.4.1.57,phosphatidylinositol alpha-mannosyltransferase
2.4.1.58,"UDP-glucose:(galactosyl)LPS alpha-1,2-glucosyltransferase"
2.4.1.64,"alpha,alpha-trehalose phosphorylase"
2.4.1.69,galactoside 2-L-fucosyltransferase 1/2
2.4.1.7,sucrose phosphorylase
2.4.1.73,lipopolysaccharide glucosyltransferase II
2.4.1.8,maltose phosphorylase
2.4.1.80,ceramide glucosyltransferase
2.4.1.83,dolichol-phosphate mannosyltransferase
2.4.1.87,N-acetyllactosaminide 3-alpha-galactosyltransferase
2.4.2.1,purine-nucleoside phosphorylase
2.4.2.10,orotate phosphoribosyltransferase
2.4.2.14,amidophosphoribosyltransferase
2.4.2.15,guanosine phosphorylase
2.4.2.17,ATP phosphoribosyltransferase
2.4.2.18,anthranilate phosphoribosyltransferase
2.4.2.19,nicotinate-nucleotide pyrophosphorylase (carboxylating)
2.4.2.2,pyrimidine-nucleoside phosphorylase
2.4.2.21,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
2.4.2.22,xanthine phosphoribosyltransferase
2.4.2.26,protein xylosyltransferase
2.4.2.28,5'-methylthioadenosine phosphorylase
2.4.2.29,queuine tRNA-ribosyltransferase
2.4.2.3,uridine phosphorylase
2.4.2.30,tankyrase
2.4.2.31,ADP-ribosyltransferase 3
2.4.2.4,thymidine phosphorylase
2.4.2.43,4-amino-4-deoxy-L-arabinose transferase
2.4.2.44,5'-methylthioinosine phosphorylase
2.4.2.45,decaprenyl-phosphate phosphoribosyltransferase
2.4.2.48,7-cyano-7-deazaguanine tRNA-ribosyltransferase
2.4.2.52,triphosphoribosyl-dephospho-CoA synthase
2.4.2.53,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
2.4.2.54,beta-ribofuranosylaminobenzene 5'-phosphate synthase
2.4.2.57,AMP phosphorylase
2.4.2.6,nucleoside deoxyribosyltransferase
2.4.2.7,adenine phosphoribosyltransferase
2.4.2.8,hypoxanthine phosphoribosyltransferase
2.4.2.9,uracil phosphoribosyltransferase
2.4.99.12,3-deoxy-D-manno-octulosonic-acid transferase
2.4.99.13,3-deoxy-D-manno-octulosonic-acid transferase
2.4.99.16,starch synthase (maltosyl-transferring)
2.4.99.17,S-adenosylmethionine:tRNA ribosyltransferase-isomerase
2.4.99.18,dolichyl-diphosphooligosaccharide---protein glycosyltransferase
2.5.1.1,farnesyl diphosphate synthase
2.5.1.10,farnesyl diphosphate synthase
2.5.1.101,"N,N'-diacetyllegionaminate synthase"
2.5.1.105,"7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase"
2.5.1.108,2-(3-amino-3-carboxypropyl)histidine synthase
2.5.1.114,tRNA wybutosine-synthesizing protein 2
2.5.1.120,aminodeoxyfutalosine synthase
2.5.1.129,flavin prenyltransferase
2.5.1.141,heme o synthase
2.5.1.145,phosphatidylglycerol---prolipoprotein diacylglyceryl transferase
2.5.1.147,FO synthase
2.5.1.15,dihydropteroate synthase
2.5.1.16,spermidine synthase
2.5.1.17,cob(I)alamin adenosyltransferase
2.5.1.18,glutathione S-transferase
2.5.1.19,3-phosphoshikimate 1-carboxyvinyltransferase
2.5.1.26,alkyldihydroxyacetonephosphate synthase
2.5.1.29,"geranylgeranyl diphosphate synthase, type III"
2.5.1.3,thiamine-phosphate pyrophosphorylase
2.5.1.30,heptaprenyl diphosphate synthase component 1
2.5.1.31,undecaprenyl diphosphate synthase
2.5.1.32,15-cis-phytoene synthase
2.5.1.41,phosphoglycerol geranylgeranyltransferase
2.5.1.42,geranylgeranylglycerol-phosphate geranylgeranyltransferase
2.5.1.46,deoxyhypusine synthase
2.5.1.47,cysteine synthase
2.5.1.48,cystathionine gamma-synthase
2.5.1.49,O-acetylhomoserine (thiol)-lyase
2.5.1.52,L-mimosine synthase
2.5.1.54,3-deoxy-7-phosphoheptulonate synthase
2.5.1.55,2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase)
2.5.1.56,N-acetylneuraminate synthase
2.5.1.57,sialic acid synthase
2.5.1.6,S-adenosylmethionine synthetase
2.5.1.61,hydroxymethylbilane synthase
2.5.1.64,Transferred to 2.2.1.9 and 4.2.99.20
2.5.1.65,cysteine synthase / O-phosphoserine sulfhydrylase / cystathionine beta-synthase
2.5.1.66,N2-(2-carboxyethyl)arginine synthase
2.5.1.7,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
2.5.1.72,quinolinate synthase
2.5.1.74,"1,4-dihydroxy-2-naphthoate polyprenyltransferase"
2.5.1.75,tRNA dimethylallyltransferase
2.5.1.76,cysteate synthase
2.5.1.77,"5-amino-6-(D-ribitylamino)uracil-L-tyrosine 4-methylphenol transferase and EC 4.3.1.32, 7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase."
2.5.1.78,"6,7-dimethyl-8-ribityllumazine synthase"
2.5.1.84,all-trans-nonaprenyl-diphosphate synthase
2.5.1.85,all-trans-nonaprenyl-diphosphate synthase
2.5.1.89,"tritrans,polycis-undecaprenyl-diphosphate synthase [geranylgeranyl-diphosphate specific]"
2.5.1.9,riboflavin synthase
2.5.1.90,octaprenyl-diphosphate synthase
2.5.1.94,adenosyl-chloride synthase
2.5.1.96,"4,4'-diapophytoene synthase"
2.5.1.97,pseudaminic acid synthase
2.6.1.1,"aspartate aminotransferase, chloroplastic"
2.6.1.100,"L-glutamine:2-deoxy-scyllo-inosose/3-amino-2,3-dideoxy-scyllo-inosose aminotransferase"
2.6.1.107,beta-methylphenylalanine transaminase
2.6.1.11,acetylornithine aminotransferase
2.6.1.13,ornithine--oxo-acid transaminase
2.6.1.14,asparagine---oxo-acid transaminase
2.6.1.16,glutamine---fructose-6-phosphate transaminase (isomerizing)
2.6.1.17,acetylornithine/N-succinyldiaminopimelate aminotransferase
2.6.1.19,4-aminobutyrate aminotransferase
2.6.1.2,alanine transaminase
2.6.1.21,D-alanine transaminase
2.6.1.22,4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase
2.6.1.29,diamine transaminase
2.6.1.33,"dTDP-4-amino-4,6-dideoxy-D-glucose transaminase"
2.6.1.36,L-lysine 6-transaminase
2.6.1.37,2-aminoethylphosphonate-pyruvate transaminase
2.6.1.39,kynurenine/2-aminoadipate aminotransferase
2.6.1.42,branched-chain amino acid aminotransferase
2.6.1.45,alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase
2.6.1.48,4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase
2.6.1.5,tyrosine aminotransferase
2.6.1.50,L-glutamine:scyllo-inosose aminotransferase
2.6.1.51,alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase
2.6.1.52,phosphoserine aminotransferase
2.6.1.53,glutamate synthase (NADPH)
